id;street_address;postal_code;city;state_province
1;zowie upliftingly aw;substantial qua;Lake Othaberg;energetically
2;smooth wildly gah;via nun;Fort Luciuschester;troubled anenst
3;where than notwithstanding;rally clear;Keyshawnfield;across unzip unless
4;ick;butter delightfully amendment;New Olastead;promise noisily abaft
5;indeed happy huzzah;than mount;Jacobiport;kowtow um pulp
6;soupy hm;thrifty unearth;Port Columbus;improbable whoa
7;defiantly;impressionable tenement;North Genesis;forenenst retract dial
8;waver gee;whistle though;West Gaston;apropos juggernaut
9;underneath psst;athwart immediate;Blakeberg;yippee
10;now not blah;frantically monumental reference;New Drewville;against unto
